SKU_Coded,Predicted_Date,Actual_Sold_Date,Qty_Sold,Predicted_Qty_Sold,Unit_Price,On_Promo
6200700,2022-08-09,2022-08-09,5.0,29.40906473106952,9.99,0.0
6200700,2022-08-10,2022-08-10,37.0,27.042085265821633,9.99,0.0
6200700,2022-08-11,2022-08-11,47.0,62.91534885245929,9.99,0.0
6200700,2022-08-12,2022-08-12,60.0,107.21466725909812,9.99,0.0
6200700,2022-08-13,2022-08-13,48.0,69.08047668763231,9.99,0.0
6200700,2022-08-14,2022-08-14,39.0,37.723281604432955,9.99,0.0
6200700,2022-08-15,2022-08-15,23.0,33.84553360542938,9.99,0.0
6200700,2022-08-16,2022-08-16,27.0,28.96240243345425,9.99,0.0
6200700,2022-08-17,2022-08-17,38.0,26.114283355502693,9.99,0.0
6200700,2022-08-18,2022-08-18,71.0,61.47047300833306,9.99,0.0
6200700,2022-08-19,2022-08-19,52.0,105.2172504079368,9.99,0.0
6200700,2022-08-20,2022-08-20,58.0,66.4969299096468,9.99,0.0
6200700,2022-08-21,2022-08-21,41.0,34.523457813801954,9.99,0.0
6200700,2022-08-22,2022-08-22,51.0,30.004390828170898,9.99,0.0
6200700,2022-08-23,2022-08-23,48.0,24.461708266918713,9.99,0.0
6200700,2022-08-24,2022-08-24,48.0,20.944298848512922,9.99,0.0
6200700,2022-08-25,2022-08-25,65.0,55.63155288328969,9.99,0.0
6200700,2022-08-26,2022-08-26,86.0,98.72129729518991,9.99,0.0
6200700,2022-08-27,2022-08-27,63.0,59.36864308389477,9.16,0.0
6200700,2022-08-28,2022-08-28,42.0,26.801321721554757,9.99,0.0
6200700,2022-08-29,2022-08-29,36.0,21.741355337958552,9.99,0.0
6200700,2022-08-30,2022-08-30,40.0,15.725520925106153,9.99,0.0
6200700,2022-08-31,2022-08-31,38.0,11.817459033598276,9.99,0.0
6200700,2022-09-01,2022-09-01,29.0,46.21086866757649,9.99,0.0
6200700,2022-09-02,2022-09-02,49.0,89.11703737998725,9.99,0.0
6200700,2022-09-03,2022-09-03,41.0,49.70328822067276,9.99,0.0
6200700,2022-09-04,2022-09-04,52.0,17.207932133151054,9.99,0.0
6200700,2022-09-05,2022-09-05,25.0,12.361582467119177,9.99,0.0
